
2025/01/22 (14:34:19) | ===> btop++ v.1.4.0
2025/01/22 (14:34:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (14:36:16) | ===> btop++ v.1.4.0
2025/01/22 (14:36:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (14:37:16) | ===> btop++ v.1.4.0
2025/01/22 (14:37:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (14:37:31) | ===> btop++ v.1.4.0
2025/01/22 (14:37:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (23:13:55) | ===> btop++ v.1.4.0
2025/01/22 (23:13:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (22:04:54) | ===> btop++ v.1.4.0
2025/01/24 (22:04:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (22:05:23) | ===> btop++ v.1.4.0
2025/01/24 (22:05:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (14:52:17) | ===> btop++ v.1.4.0
2025/01/26 (14:52:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (15:15:18) | ===> btop++ v.1.4.0
2025/01/26 (15:15:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (15:29:30) | ===> btop++ v.1.4.0
2025/01/26 (15:29:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (22:17:37) | ===> btop++ v.1.4.0
2025/01/27 (22:17:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (09:35:32) | ===> btop++ v.1.4.0
2025/01/28 (09:35:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (20:27:07) | ===> btop++ v.1.4.0
2025/02/03 (20:27:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (01:14:55) | ===> btop++ v.1.4.0
2025/02/04 (01:14:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (19:44:11) | ===> btop++ v.1.4.0
2025/02/05 (19:44:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (18:05:56) | ===> btop++ v.1.4.0
2025/02/10 (18:05:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (18:06:06) | ===> btop++ v.1.4.0
2025/02/10 (18:06:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (18:06:51) | ===> btop++ v.1.4.0
2025/02/10 (18:06:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (18:08:49) | ===> btop++ v.1.4.0
2025/02/10 (18:08:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (20:42:31) | ===> btop++ v.1.4.0
2025/02/10 (20:42:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (00:05:22) | ===> btop++ v.1.4.0
2025/02/11 (00:05:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (00:05:29) | ===> btop++ v.1.4.0
2025/02/11 (00:05:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (11:01:55) | ===> btop++ v.1.4.0
2025/02/12 (11:01:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (17:25:02) | ===> btop++ v.1.4.0
2025/02/14 (17:25:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (20:57:38) | ===> btop++ v.1.4.0
2025/02/16 (20:57:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (19:30:59) | ===> btop++ v.1.4.0
2025/03/01 (19:30:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (11:53:22) | ===> btop++ v.1.4.0
2025/03/12 (11:53:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (14:36:14) | ===> btop++ v.1.4.0
2025/03/12 (14:36:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (16:26:21) | ===> btop++ v.1.4.0
2025/03/12 (16:26:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (16:27:04) | ===> btop++ v.1.4.0
2025/03/12 (16:27:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (16:30:58) | ===> btop++ v.1.4.0
2025/03/12 (16:30:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (10:33:06) | ===> btop++ v.1.4.0
2025/03/19 (10:33:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (01:32:02) | ===> btop++ v.1.4.0
2025/03/21 (01:32:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (21:07:19) | ===> btop++ v.1.4.0
2025/03/23 (21:07:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (22:46:21) | ===> btop++ v.1.4.0
2025/03/25 (22:46:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (19:13:55) | ===> btop++ v.1.4.0
2025/03/26 (19:13:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (21:30:06) | ===> btop++ v.1.4.0
2025/03/26 (21:30:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (10:41:24) | ===> btop++ v.1.4.0
2025/03/28 (10:41:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (11:56:45) | ===> btop++ v.1.4.0
2025/03/28 (11:56:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (16:29:15) | ===> btop++ v.1.4.0
2025/04/21 (16:29:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (16:35:49) | ===> btop++ v.1.4.0
2025/04/21 (16:35:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (19:22:45) | ===> btop++ v.1.4.0
2025/04/24 (19:22:45) | WARNING: Intel GPU: Failed to initialize PMU

